    Item       #   Sales    Cost Revenue
       1       1    8.00    3.50    4.50
       2       0    0.00    0.00    0.00
       3       2   10.00    3.00    7.00
       4       4   20.00    6.00   14.00
       5       2   10.00    3.00    7.00
       6       2   10.00    3.00    7.00
       7       0    0.00    0.00    0.00
       8       1    2.50    0.60    1.90
       9       1    2.50    0.70    1.80
      10       1    3.50    1.00    2.50
      11       0    0.00    0.00    0.00
      12       3   10.50    3.60    6.90
      13       3   10.50    3.60    6.90
      14       0    0.00    0.00    0.00
      15       3    9.00    1.80    7.20
      16       0    0.00    0.00    0.00
      17       3   12.00    3.00    9.00
      18       2    8.00    2.20    5.80
      19       3   12.00    3.60    8.40
      20       2   17.00    5.18   11.82
      21       0    0.00    0.00    0.00
      22       3   25.50    7.50   18.00
      23       0    0.00    0.00    0.00
      24       2   17.00   21.00   -4.00
      25       1    9.50    2.70    6.80
      26       0    0.00    0.00    0.00
      27       1    9.50    2.70    6.80
      28       3   28.50    8.10   20.40
      29       2   19.00    5.40   13.60
      30       1    9.50    2.90    6.60
      31       0    0.00    0.00    0.00
      32       1    8.00    3.50    4.50
      33       2   10.00    3.00    7.00
      34       1    5.00    1.50    3.50
      35       1    5.00    1.50    3.50
      36       2   10.00    3.00    7.00
      37       2   12.00    3.50    8.50
      38       1    6.00    1.75    4.25
      39       2   12.00    3.50    8.50
      40       0    0.00    0.00    0.00
      41       2   15.00    3.00   12.00
      42       5   37.50    7.50   30.00
      43       6   45.00    9.00   36.00
      44       0    0.00    0.00    0.00
      45       2   19.00    5.80   13.20
      46       4   38.00   11.60   26.40
      47       1    9.50    2.90    6.60
      48       2   19.00    5.82   13.18
      49       1    9.50    2.90    6.60
      50       1    7.50    1.50    6.00
